Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
569.762,3.993016481399536,0.0,0.0,0.0,0.0,0.5552201271057129
569.806,3.993016481399536,0.0,0.0,0.0,0.0,0.5552201271057129
569.83,4.183349609375,0.0,0.0,0.0,0.0,0.6060730218887329
569.862,4.1536126136779785,0.0,0.0,0.0,0.0,0.6309328675270081
569.906,4.1536126136779785,0.0,0.0,0.0,0.0,0.6309328675270081
569.93,4.198536396026611,0.0,0.0,0.0,0.0,0.5988137125968933
569.962,4.167670249938965,0.0,0.0,0.0,0.0,0.6215854287147522
570.006,4.167670249938965,0.0,0.0,0.0,0.0,0.6215854287147522
570.03,3.936234951019287,0.0,0.0,0.0,0.0,0.5608718991279602
570.062,3.9104630947113037,0.0,0.0,0.0,0.0,0.5794026255607605
570.106,3.9104630947113037,0.0,0.0,0.0,0.0,0.5794026255607605
570.13,4.224943161010742,0.0,0.0,0.0,0.0,0.5371432304382324
570.162,4.197664260864258,0.0,0.0,0.0,0.0,0.5564575791358948
570.202,4.197664260864258,0.0,0.0,0.0,0.0,0.5564575791358948
570.23,4.160266876220703,0.0,0.0,0.0,0.0,0.6022226810455322
570.262,4.17657470703125,0.0,0.0,0.0,0.0,0.6355417370796204
570.298,4.17657470703125,0.0,0.0,0.0,0.0,0.6355417370796204
570.33,4.086612701416016,0.0,0.0,0.0,0.0,0.46575164794921875
570.362,4.101059436798096,0.0,0.0,0.0,0.0,0.48941725492477417
570.398,4.101059436798096,0.0,0.0,0.0,0.0,0.48941725492477417
570.43,4.029881954193115,0.0,0.0,0.0,0.0,0.4932131767272949
570.462,4.07119607925415,0.0,0.0,0.0,0.0,0.5119132995605469
570.506,4.07119607925415,0.0,0.0,0.0,0.0,0.5119132995605469
570.53,4.096569538116455,0.0,0.0,0.0,0.0,0.5131440758705139
570.562,4.107521057128906,0.0,0.0,0.0,0.0,0.5219799876213074
570.606,4.107521057128906,0.0,0.0,0.0,0.0,0.5219799876213074
570.63,4.008696556091309,0.0,0.0,0.0,0.0,0.5352016687393188
570.662,4.047163009643555,0.0,0.0,0.0,0.0,0.5526487827301025
570.718,4.101222991943359,0.0,0.0,0.0,0.0,0.5152958035469055
570.73,4.101222991943359,0.0,0.0,0.0,0.0,0.5152958035469055
570.762,4.124135971069336,0.0,0.0,0.0,0.0,0.5266894698143005
570.806,4.124135971069336,0.0,0.0,0.0,0.0,0.5266894698143005
570.83,4.372585296630859,0.0,0.0,0.0,0.0,0.44708549976348877
570.862,4.437326908111572,0.0,0.0,0.0,0.0,0.462115615606308
570.898,4.437326908111572,0.0,0.0,0.0,0.0,0.462115615606308
570.93,4.5641632080078125,0.0,0.0,0.0,0.0,0.4145972728729248
570.962,4.5641632080078125,0.0,0.0,0.0,0.0,0.4145972728729248
571.002,4.233335971832275,0.0,0.0,0.0,0.0,0.4855857193470001
571.03,4.315826416015625,0.0,0.0,0.0,0.0,0.4931575655937195
571.062,4.315826416015625,0.0,0.0,0.0,0.0,0.4931575655937195
571.102,4.315826416015625,0.0,0.0,0.0,0.0,0.4931575655937195
571.13,4.447305679321289,0.0,0.0,0.0,0.0,0.44177958369255066
571.162,4.424581527709961,0.0,0.0,0.0,0.0,0.4492990970611572
571.202,4.424581527709961,0.0,0.0,0.0,0.0,0.4492990970611572
