Time,time,xPos,yPos,yaw,xVel,yVel,zAngVel
248.566,248.5659942626953,43.78826141357422,2.4611079692840576,-0.1700826734304428,4.159426212310791,0.14233270287513733,-0.12792529165744781
248.574,248.57400512695312,43.82126998901367,2.456613063812256,-0.17144173383712769,4.159640312194824,0.1517089158296585,-0.1378174126148224
248.606,248.58200073242188,43.85425567626953,2.452054262161255,-0.1727066934108734,4.158463001251221,0.15103745460510254,-0.15738019347190857
248.606,248.6020050048828,43.93653106689453,2.4404964447021484,-0.17557884752750397,4.148119926452637,0.1450575739145279,-0.17262335121631622
248.606,248.6060028076172,43.95294952392578,2.4381675720214844,-0.17593403160572052,4.14142370223999,0.1439078152179718,-0.0918193906545639
248.61,248.61000061035156,43.969356536865234,2.435821771621704,-0.17659437656402588,4.141781330108643,0.1440739780664444,-0.1693098545074463
248.614,248.61399841308594,43.985748291015625,2.4334747791290283,-0.17692327499389648,4.1350178718566895,0.1433865875005722,-0.08569419384002686
248.666,248.62600708007812,44.03483200073242,2.426393508911133,-0.17855718731880188,4.127950191497803,0.1429848074913025,-0.16643835604190826
248.666,248.66600036621094,44.19736099243164,2.402350902557373,-0.18346872925758362,4.089999675750732,0.14012964069843292,-0.16742518544197083
248.67,248.6739959716797,44.22967529296875,2.3974626064300537,-0.18447068333625793,4.08317232131958,0.1395781934261322,-0.16763706505298615
248.706,248.68600463867188,44.27802276611328,2.3900763988494873,-0.18576732277870178,4.069919109344482,0.13826605677604675,-0.08241693675518036
248.706,248.70599365234375,44.35837936401367,2.3776326179504395,-0.18832097947597504,4.058591842651367,0.13705499470233917,-0.16256208717823029
248.71,248.7100067138672,44.37440490722656,2.3751254081726074,-0.18862208724021912,4.052048206329346,0.13630132377147675,-0.07768427580595016
248.718,248.71400451660156,44.39043045043945,2.372610330581665,-0.18926109373569489,4.052957057952881,0.13617023825645447,-0.16218863427639008
248.766,248.75,44.53415298461914,2.349625587463379,-0.1940579116344452,4.032223701477051,0.13551056385040283,-0.10388129949569702
